country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,,,year,le
Afghanistan,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,,,1800,1.062681818
Angola,0.779,0.781,0.785,0.789,0.791,0.795,0.799,0.802,0.806,0.809,0.813,,,1801,0.863727273
Albania,0.919,0.921,0.924,0.927,0.929,0.932,0.935,0.937,0.94,0.943,0.946,,,1802,1.412863636
Andorra,1.88,1.88,1.88,1.89,1.89,1.89,1.9,1.9,1.9,1.91,1.91,,,1803,1.789090909
UAE,1.65,1.66,1.67,1.67,1.68,1.68,1.69,1.7,1.7,1.71,1.72,,,1804,1.901818182
Argentina,2.08,2.09,2.1,2.1,2.11,2.12,2.13,2.13,2.14,2.15,2.16,,,1805,1.750454545
Armenia,1.36,1.37,1.37,1.37,1.38,1.38,1.39,1.39,1.39,1.4,1.4,,,1806,1.220909091
Antigua and Barbuda,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,,,1807,1.22
Australia,1.34,1.35,1.36,1.36,1.37,1.38,1.39,1.4,1.4,1.41,1.42,,,1809,2.328181818
Austria,3.21,3.22,3.24,3.25,3.26,3.28,3.29,3.3,3.32,3.33,3.34,,,1810,2.383181818
Azerbaijan,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,,,,
Burundi,0.928,0.928,0.93,0.93,0.933,0.933,0.933,0.935,0.935,0.937,0.937,,,,
Belgium,3.55,3.55,3.56,3.56,3.56,3.57,3.57,3.58,3.58,3.59,3.59,,,,
Benin,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.13,,,,
Burkina Faso,1.03,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.06,1.06,1.06,,,,
Bangladesh,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,,,,
Bulgaria,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,,,,
Bahrain,1.09,1.09,1.1,1.1,1.1,1.11,1.11,1.12,1.12,1.13,1.13,,,,
Bahamas,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,,,,
Bosnia and Herzegovina,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,2.27,,,,
